symbol,tour,bet,pnl
BLIND_44,3,40.0,40.0
BLIND_44,4,10.0,10.0
BLIND_44,5,10.0,10.0
BLIND_44,6,10.0,-10.0
BLIND_44,7,20.0,20.0
BLIND_44,8,10.0,10.0
BLIND_44,9,10.0,-10.0
BLIND_44,10,20.0,-20.0
BLIND_45,1,10.0,10.0
BLIND_45,2,10.0,-10.0
BLIND_45,3,20.0,-20.0
BLIND_45,4,40.0,40.0
BLIND_45,5,10.0,10.0
BLIND_45,6,10.0,10.0
BLIND_45,7,10.0,-10.0
BLIND_45,8,20.0,20.0
BLIND_45,9,10.0,-10.0
BLIND_45,10,20.0,-20.0
BLIND_46,1,10.0,-10.0
BLIND_46,2,20.0,20.0
BLIND_46,3,10.0,10.0
BLIND_46,4,10.0,10.0
BLIND_46,5,10.0,-10.0
BLIND_46,6,20.0,-20.0
BLIND_46,7,40.0,40.0
BLIND_46,8,10.0,-10.0
BLIND_46,9,20.0,20.0
BLIND_46,10,10.0,10.0
BLIND_47,1,10.0,10.0
BLIND_47,2,10.0,10.0
BLIND_47,3,10.0,10.0
BLIND_47,4,10.0,10.0
BLIND_47,5,10.0,-10.0
BLIND_47,6,20.0,-20.0
BLIND_47,7,40.0,-40.0
BLIND_47,8,80.0,80.0
BLIND_47,9,10.0,-10.0
BLIND_47,10,20.0,20.0
BLIND_48,1,10.0,-10.0
BLIND_48,2,20.0,20.0
BLIND_48,3,10.0,10.0
BLIND_48,4,10.0,10.0
BLIND_48,5,10.0,-10.0
BLIND_48,6,20.0,20.0
BLIND_48,7,10.0,10.0
BLIND_48,8,10.0,-10.0
BLIND_48,9,20.0,20.0
BLIND_48,10,10.0,-10.0
BLIND_49,1,10.0,-10.0
BLIND_49,2,20.0,20.0
BLIND_49,3,10.0,10.0
BLIND_49,4,10.0,-10.0
BLIND_49,5,20.0,-20.0
BLIND_49,6,40.0,40.0
BLIND_49,7,10.0,10.0
BLIND_49,8,10.0,10.0
BLIND_49,9,10.0,10.0
BLIND_49,10,10.0,10.0
BLIND_50,1,10.0,10.0
BLIND_50,2,10.0,10.0
BLIND_50,3,10.0,-10.0
BLIND_50,4,20.0,20.0
BLIND_50,5,10.0,-10.0
BLIND_50,6,20.0,-20.0
BLIND_50,7,40.0,40.0
BLIND_50,8,10.0,-10.0
BLIND_50,9,20.0,-20.0
BLIND_50,10,40.0,40.0
BLIND_51,1,10.0,10.0
BLIND_51,2,10.0,10.0
BLIND_51,3,10.0,10.0
BLIND_51,4,10.0,-10.0
BLIND_51,5,20.0,20.0
BLIND_51,6,10.0,-10.0
BLIND_51,7,20.0,20.0
BLIND_51,8,10.0,-10.0
BLIND_51,9,20.0,-20.0
BLIND_51,10,40.0,40.0
BLIND_52,1,10.0,10.0
BLIND_52,2,10.0,-10.0
BLIND_52,3,20.0,20.0
BLIND_52,4,10.0,-10.0
BLIND_52,5,20.0,-20.0
BLIND_52,6,40.0,-40.0
BLIND_52,7,80.0,-80.0
BLIND_52,8,160.0,160.0
BLIND_52,9,10.0,-10.0
BLIND_52,10,20.0,-20.0
BLIND_53,1,10.0,10.0
BLIND_53,2,10.0,-10.0
BLIND_53,3,20.0,-20.0
BLIND_53,4,40.0,-40.0
BLIND_53,5,80.0,80.0
BLIND_53,6,10.0,10.0
BLIND_53,7,10.0,-10.0
BLIND_53,8,20.0,-20.0
BLIND_53,9,40.0,40.0
BLIND_53,10,10.0,10.0
BLIND_54,1,10.0,10.0
BLIND_54,2,10.0,10.0
BLIND_54,3,10.0,-10.0
BLIND_54,4,20.0,20.0
BLIND_54,5,10.0,10.0
BLIND_54,6,10.0,10.0
BLIND_54,7,10.0,10.0
BLIND_54,8,10.0,10.0
BLIND_54,9,10.0,10.0
BLIND_54,10,10.0,-10.0
BLIND_55,1,10.0,10.0
BLIND_55,2,10.0,10.0
BLIND_55,3,10.0,-10.0
BLIND_55,4,20.0,-20.0
BLIND_55,5,40.0,-40.0
BLIND_55,6,80.0,80.0
BLIND_55,7,10.0,-10.0
BLIND_55,8,20.0,-20.0
BLIND_55,9,40.0,-40.0
BLIND_55,10,80.0,-80.0
BLIND_56,1,10.0,10.0
BLIND_56,2,10.0,10.0
BLIND_56,3,10.0,-10.0
BLIND_56,4,20.0,20.0
BLIND_56,5,10.0,-10.0
BLIND_56,6,20.0,20.0
BLIND_56,7,10.0,-10.0
BLIND_56,8,20.0,-20.0
BLIND_56,9,40.0,-40.0
BLIND_56,10,80.0,80.0
BLIND_57,1,10.0,10.0
BLIND_57,2,10.0,10.0
BLIND_57,3,10.0,-10.0
BLIND_57,4,20.0,-20.0
BLIND_57,5,40.0,40.0
BLIND_57,6,10.0,-10.0
BLIND_57,7,20.0,-20.0
BLIND_57,8,40.0,40.0
BLIND_57,9,10.0,10.0
BLIND_57,10,10.0,-10.0
BLIND_58,1,10.0,-10.0
BLIND_58,2,20.0,20.0
BLIND_58,3,10.0,10.0
BLIND_58,4,10.0,10.0
BLIND_58,5,10.0,-10.0
BLIND_58,6,20.0,20.0
BLIND_58,7,10.0,-10.0
BLIND_58,8,20.0,20.0
BLIND_58,9,10.0,10.0
BLIND_58,10,10.0,10.0
BLIND_59,1,10.0,10.0
BLIND_59,2,10.0,-10.0
BLIND_59,3,20.0,-20.0
BLIND_59,4,40.0,40.0
BLIND_59,5,10.0,10.0
BLIND_59,6,10.0,10.0
BLIND_59,7,10.0,10.0
BLIND_59,8,10.0,10.0
BLIND_59,9,10.0,10.0
BLIND_59,10,10.0,-10.0
BLIND_60,1,10.0,-10.0
BLIND_60,2,20.0,-20.0
BLIND_60,3,40.0,40.0
BLIND_60,4,10.0,-10.0
BLIND_60,5,20.0,20.0
BLIND_60,6,10.0,10.0
BLIND_60,7,10.0,-10.0
BLIND_60,8,20.0,20.0
BLIND_60,9,10.0,10.0
BLIND_60,10,10.0,10.0
BLIND_61,1,10.0,10.0
BLIND_61,2,10.0,10.0
BLIND_61,3,10.0,10.0
BLIND_61,4,10.0,-10.0
BLIND_61,5,20.0,20.0
BLIND_61,6,10.0,-10.0
BLIND_61,7,20.0,-20.0
BLIND_61,8,40.0,40.0
BLIND_61,9,10.0,10.0
BLIND_61,10,10.0,10.0
BLIND_62,1,10.0,10.0
BLIND_62,2,10.0,10.0
BLIND_62,3,10.0,10.0
BLIND_62,4,10.0,-10.0
BLIND_62,5,20.0,-20.0
BLIND_62,6,40.0,40.0
BLIND_62,7,10.0,10.0
BLIND_62,8,10.0,10.0
BLIND_62,9,10.0,-10.0
BLIND_62,10,20.0,20.0
BLIND_63,1,10.0,10.0
BLIND_63,2,10.0,-10.0
BLIND_63,3,20.0,-20.0
BLIND_63,4,40.0,40.0
BLIND_63,5,10.0,10.0
BLIND_63,6,10.0,10.0
BLIND_63,7,10.0,-10.0
BLIND_63,8,20.0,20.0
BLIND_63,9,10.0,10.0
BLIND_63,10,10.0,10.0
BLIND_64,1,10.0,10.0
BLIND_64,2,10.0,10.0
BLIND_64,3,10.0,10.0
BLIND_64,4,10.0,-10.0
BLIND_64,5,20.0,-20.0
BLIND_64,6,40.0,40.0
BLIND_64,7,10.0,-10.0
BLIND_64,8,20.0,20.0
BLIND_64,9,10.0,-10.0
BLIND_64,10,20.0,20.0
BLIND_65,1,10.0,10.0
BLIND_65,2,10.0,10.0
BLIND_65,3,10.0,-10.0
BLIND_65,4,20.0,20.0
BLIND_65,5,10.0,10.0
BLIND_65,6,10.0,-10.0
BLIND_65,7,20.0,20.0
BLIND_65,8,10.0,10.0
BLIND_65,9,10.0,10.0
BLIND_65,10,10.0,-10.0
BLIND_66,1,10.0,10.0
BLIND_66,2,10.0,10.0
BLIND_66,3,10.0,10.0
BLIND_66,4,10.0,-10.0
BLIND_66,5,20.0,20.0
BLIND_66,6,10.0,-10.0
BLIND_66,7,20.0,-20.0
BLIND_66,8,40.0,40.0
BLIND_66,9,10.0,10.0
BLIND_66,10,10.0,-10.0
BLIND_67,1,10.0,-10.0
BLIND_67,2,20.0,-20.0
BLIND_67,3,40.0,40.0
BLIND_67,4,10.0,-10.0
BLIND_67,5,20.0,-20.0
BLIND_67,6,40.0,-40.0
BLIND_67,7,80.0,-80.0
BLIND_67,8,160.0,-160.0
BLIND_67,9,320.0,-320.0
BLIND_67,10,640.0,640.0
BLIND_68,1,10.0,-10.0
BLIND_68,2,20.0,-20.0
BLIND_68,3,40.0,-40.0
BLIND_68,4,80.0,-80.0
BLIND_68,5,160.0,160.0
BLIND_68,6,10.0,-10.0
BLIND_68,7,20.0,20.0
BLIND_68,8,10.0,-10.0
BLIND_68,9,20.0,20.0
BLIND_68,10,10.0,10.0
BLIND_69,1,10.0,-10.0
BLIND_69,2,20.0,-20.0
BLIND_69,3,40.0,40.0
BLIND_69,4,10.0,-10.0
BLIND_69,5,20.0,20.0
BLIND_69,6,10.0,10.0
BLIND_69,7,10.0,-10.0
BLIND_69,8,20.0,-20.0
BLIND_69,9,40.0,-40.0
BLIND_69,10,80.0,80.0
BLIND_70,1,10.0,10.0
BLIND_70,2,10.0,10.0
BLIND_70,3,10.0,10.0
